rin,eng
"Si Sara, mabuot saka masinunod-sunod sa nakagugurang, mantang si Lisa kin uno kagustuwan amo gusto nasusunod.","Sara is kind and obedient to the elders, while Lisa always wants things to go her way."
Naglalaba sira Mama Helen saka Sara abang nag-iistoryan manungod sa mga gibo sa eskwelan.,Mama Helen and Sara were doing the laundry while talking about school activities.
"Si Lisa, nakaula sa sala mantang nagsisilong sa TV.",Lisa is in the living room watching TV.
"Lisa, usaya raw tabi a mga hanger siton ulaan.","Lisa, please fix the hangers on that chair."
"Sige Mama, pero pasentro kita nganod. ","Sure Mama, let's go to the town later."
"Bumakal kita sa ngayamnan, opo?","Let’s buy a toy, okay?"
"Lisa, kadakol pang gigibuwon ni Mama nganod.","Lisa, Mama still has a lot of things to do later."
Buko man pati ikang kaiba nganod.,You won't even be with me later.
Agko baga ika gigibuwon.,You have something to do.
"Pakausay ku mga hanger, nagrapo si Lisa ki Mama niya. ","After fixing the hangers, Lisa went to her Mama."
"Mama, migbakal akong sitsirya ta nag-aalop ako.","Mama, I will buy chips because I’m hungry."
Labi na baga ika Lisa.,"You're too much, Lisa."
Isi mo man baga na bawal ikang magparakaon kan.,You know you’re not allowed to keep eating that.
"Pinapabayaan na sana ngani ika ka gusto mong gibuwon, kin uno-uno pa naiisipan mo! ","You were already being allowed to do what you wanted, but you're still thinking of everything! "
"Kin nag-aalop ika, agko siton kraker saka kanon.","If you’re hungry, there are crackers and rice."
Talagang sitsirya pa a gusto mo?,You really want chips?
Binnalik si Lisa sadto sala ta nagsilong na sana utro iya sa TV.,Lisa went back to the living room and just continued watching TV.
Arog kan pirmi a senaryo san baloy nira.,That is always the scenario in their house.
"Kin uno ayaton ni Lisa, gusto niya maitao kanya.","Whatever Lisa asks for, she wants to be given it."
"Usad na aldow sa Domingo, mala pa ka saki na nag-imo ku magpamilya para magsimba.","One Sunday, the family prepared very early for church."
Uda tanda sa uran o uno pa man na raot sa panahon.,There was no sign of rain or any bad weather.
"Kadakul ku mga nagsirimba, kadakul man ku mga igin.",Many people went to church and many children too.
"Alagad, nakabayad si Lisa sa nagtitinda sa magagayon na lobo.",But Lisa saw a vendor of beautiful balloons.
Mga lobong iba-iba a kolor saka porma.,Balloons of different colors and shapes.
Nagluwas iya para silngan su makokolor na mga lobo.,She went out to look at the colorful balloons.
Namuya iya ta nababayad niya su mga paborito niyang burak saka ngayamnan na nakadrowing sadto mga lobo na agko mga ibaibang kolor.,She became happy because she saw her favorite flowers and toys drawn on the balloons that had different colors.
Sinabiyan niyang magluog nguna sadto simban.,He told them to go into the church first.
"Isi mo Sara, ading mga lobo lang gagayon.","Look, Sara, these balloons are really beautiful."
Lang gayon nirang naglalayog-layog.,They fly beautifully.
Gusto ko man kan kaya nganod migpabakal ako ki Mama sa darwa.,"I like them too, so I’ll ask Mama to buy me two later."
An pating mga drowing sa mga ritrato san lobo gusto ko sirang kanga amon.,I’d like those drawings on the balloon pictures to be ours.
Nagmurusdot si Sara ku sinabi ni Lisa.,Sara frowned at what Lisa said.
"Pero Lisa, sabi ni Mama magluog na nguna kuno ika.","But Lisa, Mama said you should go inside first."
Pagkatapos na sana kuno ika magluwas tangani kunong sabaysabay na sana kita.,They said we should just go out together just after.
Nagtindog si Lisa saka nagsunod ki Sara paluog sadto simban.,Lisa stood up and followed Sara going inside the church.
"Pagkatapos ku misa, nagkaon su magpamilya sa usad na restawran.","After mass, the family went to eat together at a restaurant."
Mamuya sirang pagsilngan.,They are beautiful to watch.
Ritrato sa maray na pamilya.,A picture of a good family.
"Pagkatapos magkaon, nagpauli na sira saka nagpaingalo.","After eating, they went home and took a rest."
Si Sara nag-uusay na ku mga gagamiton kinaudmaan sa eskwelan ta Lunes na naman.,Sara was already arranging the things to be used at school for the next day because it’s Monday again.
"Mantang si Lisa, lang ray ku pagkaula na nagkakaon sa donat habang nagsisilong sa TV.","As for Lisa, she was just sitting in the living room eating a donut while watching TV."
Lawod na su gab-i.,It was late at night.
Punok na su kabaluyan.,The house was quiet.
Pinaturog na ni Mama Helen su darwa ta agko klase kinaudmaan.,Mama Helen already put the two to sleep because they have class the next day.
Napaturog na si Sara kindi napagmata iya ta nagngangabil sa kin uno-uno si Lisa.,"Sara had already fallen asleep, but woke up because Lisa was mumbling random things."
Pinagsilngan sana niya su kakambal ta isi niya na,He just watched the twin because he already knew.
Pero biglang nagbuwat si Lisa na nag-aangos sa labo-labo.,"But suddenly, Lisa got up, breathing really fast."
Ginakos niya si Sara abang nagtatangis.,She hugged Sara while crying.
Inunga ni Sara si Lisa kin agko namamatian o makulog.,Sara asked Lisa if she was feeling anything or if anything hurt.
Sige pa nanggad su tangis ni Lisa na nag-iistoya ku kakambal niya.,Lisa kept crying while telling the story to her twin.
Su mga lobo sadto simban subago nabuway.,The balloons earlier in the church came to life.
Gusto nira akong kuon tanganing darawon sadto kanda.,They wanted to take me with them to their place.
Diri na nira ako ibabalik kanda Mama saka Papa.,They won't bring me back to Mama and Papa.
Ilalayog na kintana ako nira paiyan sadto Asog ta san kuno a istaran nira.,They were about to fly me to Asog because that’s where they live.
Maray sana na napagmata ako.,Good thing I woke up.
Sinabiyan na dapat mag-iirungog sa akagugurang kanya.,She was told to listen to those older than her.
Dapat pirming mangadyi bago maturog tanganing diri pangaturugan sa kin uno-uno.,Always pray before sleeping to not dream of anything.
Nakaturog si Lisa na gakos-gakos ku kakambal niya.,Lisa fell asleep hugging her twin.
gatingay pa sana a nakaistar sa Sumagang.,Only few live in Sumagang.
Uda kaya ibang pagkukuan sa tubig a mga tawo kindi tubig sana sa uran.,The people had no other source of water except for rain.
Usad sa mga nagkapirang nakaistar sa Sumagang a tribo ka Cimarron.,One of the tribes living in Sumagang was the Cimarron tribe.
Si Apo Iraya a namamayo sa Tribo.,Apo Araya was the leader of the tribe.
Agko iya usad na igin na lalaki na a ngaran Iraga.,He had an only son named Iraga.
Pagtanom anggan pagrakop ka mga layas na ayop a kandang ikinabubuway.,Farming and hunting wild animals were their means of survival.
"Kaya, pirming sadto bukid a mga lalaking Cimarron tanganing magbantay ka mga pananom saka mangbitik sa upon.",The Cimarron men were always in the mountains to guard their crops and set traps for wild animals.
Si Iraga a pinakamaurot na paratanom sa interong tribo.,Iraga was the most hardworking farmer in the whole tribe.
"Iya a agko pinakamaiwas na tanuman sa batag, kamote saka kamoteng kawoy. ","He had the widest fields of rice, sweet potatoes, and cassava."
"Kaya, biyong pag-aagawan a mga ginusi niya pag iya innuuli.",That was why his harvests were always sought after when he brought them home.
Biglang innabot su alawig na tag-init.,"Then suddenly, a long drought came."
Di basang innuuran.,It was not raining.
"Kaya, pinnuon nang maggaralinan su ibang tawo sa Sumagang.","So, people began to leave Sumagang."
Amo sana natagak su mga Cimarron.,That was when the Cimarrons were left behind.
"Kaya, uroaldow sirang nag-aapag saka nag-aatang ki Gugurang tanganing mag-uran.","Every day, they prayed and offered to Gugurang, asking for rain."
"Alagad, uno man raw adto ta lalo man na inninit sa biyo su panawon!","But, why is that the weather only grew hotter and drier!"
"Diri na mig-uban mga ngod, migtios saka mig-alop kita sadi.","Don't delay any longer my siblings, we'll suffer and hunger here."
Kaipwanan ta nang makiusip ki Gugurang.,We must seek Gugurang’s help.
Kaipwanan na nirang mag-ayat sa tabang.,They needed to call for aid.
"Alagad, makakausip sana si Gugurang kin iya tuyuwon sadto pinakataas na parte ka bukid.",But Gugurang could only be spoken to at the highest peak of the mountain.
"Usad na aldow, isinubol ni Apo Iraya su ngamin na lalaking Cimarron na tumukad sadto pinakaitaas ka Bukid Asog.","One day, Apo Iraya gathered all the Cimarron men to climb the very top of Mount Asog."
Buot ko pong makatabang.,I truly wish to help.
Abo kintanang tugutan ni Apo Iraya na paibanon a kauusad niyang igin.,But Apo Iraya did not allow his only child to go down.
"Alagad, para sa ikararay ka ngamin niyang ka-tribo, pinaiba niya si Iraga.","Yet, for the sake of his whole tribe, he sent Iraga instead."
Ku aldow man sanang adto tinnukad sira sadto Iraga.,"On that very day, they climbed with Iraga."
Suway-suway nirang sinusog su mga raran pabukid.,They carefully followed the trails up the mountain.
Nag-alnas na su agiyan saka kadakol nirang ampas na linabusan.,"The path was steep, and they crossed many ravines."
"Sa grabeng pagkapaha, diri na kinayang makatukad ku ibang Cimarron. ","Because of the exhausting journey, some Cimarrons could no longer continue the climb."
"Su iba man, nalagalag sadto kadlagan.",Others wandered off into the forest.
Si Iraga sana a nakaantos sadto pinakataas ka Asog.,Only Iraga endured until he reached the very top of Asog.
Tinnangad tulos iya sadto langit.,He immediately lifted his gaze to the sky.
"Tabangan mo tabi kami, Gugurang.","Help us, Gugurang."
Tawan mo tabi kami sa pigkuan sa tubig.,Grant us water.
Buot tabi namong mabuway.,We wish to live.
Linniwanag su langit saka nagdaguldol.,The sky brightened and thunder roared.
"Itatao ko a kamawotan ninyo alagad, dapat makapagtanom kamo sa palibot ka bukid saka makapabuway kamo sa tanom. ","I will give you what you desire, but you must plant around the mountain and grow crops."
"Kaya, kaipwanan ninyo tulos gumalin sa Sumagang.","Therefore, you must leave Sumagang at once."
Sibot na binnaba si Iraga pauli sadto kandang tribo.,Iraga quickly went down and returned to their tribe.
Kinnuko sira sa mga pantanom galin sadto pag-abayan na lugar ka Sumagang.,They took planting seeds from the neighboring lands of Sumagang.
"Tinamnan nira su palibot ku bukid alagad, nagkaluluyos man sa sobrang init.","They planted around the mountain, but the crops withered because of the extreme heat."
Nauudaan na sa paglaom su mga Cimarron.,The Cimarrons began to lose hope.
"Kaya, naisipan na ni Apo Iraya na bayaan a Sumagang bago pa sira abutan sa pagtuga.","So, Apo Iraya thought of leaving Sumagang before they would be caught by the eruption."
Abong bayaan ni Iraga su Sumagang.,Iraga refused to leave Sumagang.
Makusog a buot niya na makabubuway iya sa tanom.,His will was strong that he could live by his crops.
Kin amo yan isi mong ikararay ka ngamin.,If that's what you think that is best for us.
Iparayo man lugod ika ni Gugurang sa katibaadan.,May Gugurang keep you away from danger.
Isi mo man kin sari kami aanapon.,You know where to find us.
Padagos na nagparatanom si Iraga.,Iraga continued planting.
"Ku pinnupuon naman na maluyos, ginamit na niyang pambubo su natutuda niyang inumon na tubig.","When the seedlings began to wither, he used his stored drinking water for watering."
Anggan sa biglang nagdaguldol saka nagkitkilat.,"Until suddenly, thunder roared and lightning flashed."
Natawban sa maitom na panganuron su Asog.,Asog was covered by dark clouds.
Nagpuon naman magbulos su tubig galin sa itaas ku bukid.,The water began to flow down from the mountain.
Sinabayan pa sa makusog na pag-uran.,It was accompanied by heavy rain.
Natubigan na intero su Sumagang.,The whole of Sumagang was watered.
Nakadulag man tulos si Iraga bago pa iya abutan ku baha.,Iraga quickly escaped before the flood could reach him.
Mamuya man iyang sinabat ni Apo Iraya saka iba niyang ka-tribo.,"On his way, he met Apo Iraya and the other members of his tribe."
"Pakaagi ku baha, nagburutwaan su mga bukal, busay, saka burabod sa manlainlain na lugar ka Sumagang.","After the flood, springs, waterfalls, and fountains appeared in different parts of Sumagang."
Matatan-aw man sa taas ka Asog su darwang maiiwas na ranow.,"From the top of Asog, the two wide lakes could also be seen."
Nariparo nira na nagkabubuway su mga itinanom ni Iraga.,They noticed that Iraga’s crops had grown well.
"Kaya, nag-atang sira sa pasasalamat ki Gugurang. ",So they offered their thanks to Gugurang.
"Puon kadto, nagin sagana sa tubig a Sumagang saka dakol na tawong buot sadtong mag-istar.","From then on, Sumagang became abundant in water, and many people wished to live there."
"Madunong, maurot saka maaasahan. ","Wise, diligent, and dependable."
"Nagdakulo iya sa simpleng pamumuhay kaiba si Mama, Papa saka angod niya. ","He grew up in a simple life together with his Mama, Papa, and siblings."
Nakaistar sira sa simpleng baloy sa gilid ka uma.,They lived in a simple house at the edge of the rice field.
Migpoon pa sanang mag-baoy si Mama niya taiton na tulos si Nanoy.,"Just as his Mama was about to call them, Nanoy immediately responded."
Mag-iros na ika sa kanon ta magkaon na kita.,Get the rice now so we can eat.
Babauyon ko na man po si Lina.,I'll call Lina too.
Simbag ni Nanoy na dali-daling binaoy si Lina ta migkaon na.,"Nanoy replied, then quickly called Lina so they could eat."
Pagkakaon ako na po minugas.,"After eating, I'll wash the dishes."
Makingayamon na ika ku mga pinsan mo sadto luyo ta pig-uulat na ika.,Go and play with your cousins over there because they're waiting for you.
Saka luway-luway na nagdalagan paiyan sadto luyong baloy si Nanoy para mangayamon.,Then Nanoy slowly ran towards the other house to play.
"Usad na aldow, nagisong si Nanoy na inaanap si Papa niya.","One day, Nanoy woke up looking for his Papa."
unga ni Nanoy ta di niya nababayad si Papa niya sa kwarto saka sala.,Asked by Nanoy because his Papa was not around in the bedroom and the living room.
"Ka amay man ni Papa na naggalin, ay! ",Papa left early in the morning!
"Nanoy, igin, amay na naggalin si Papa mo ta kinuko iya ni Ankol mo na mig trabawo sa arayo.","Nanoy, my child, your Papa left early because your Uncle took him to work far away."
Mga usad na bulan man sana o diri ngani.,"It will only be for one month, maybe not even that long."
Di man basang ako ginisong ni Papa ay!,Papa didn't even wake me up!
Nagsabi adto na migtawag na sana kuno iya pag nakaabot na iya sadto pigtrabawuwan niya.,He said he would just call once he arrived at his workplace.
Paliwanag ni Mama niya na namumundo man.,"His Mama explained, though she was also sad. "
"Kadakol ta kayang gastusan nguwan, igin.","We have many expenses now, my child."
Saka para man an kaninyo a pagtrabawo ni Papa mo sa arayo.,And that's why your Papa is working far away for your own good.
Gusto mo bagang mag-high school sadto syudad saka tanganing mabakal ninyo a mga gamit sa eskwelan na kaipwanan ninyo?,Don't you want to go to high school in the city and for you to buy the school supplies you need?
Paliwanag ku mama ni Nanoy.,Nanoy's mother explained.
Di na nagpulaw si Nanoy.,Nanoy could no longer sleep.
Bagana namungnan iya na nag-iisip.,"He just lay still, thinking."
Ulaton ta na sana su tawag niya.,We'll just wait for his call.
Saka pa sana nag-aliwalas su lalawgon saka napangisi na si Nanoy.,"Then his face seemed to brighten, and Nanoy smiled."
Sabi ni Nanoy na naintindiyan su paliwanag ku Mama.,He said that he understood his Mama's explanation.
"Tatabangan ko ika Ma, sa mga gibo sadi baloy.","I'll help you, Ma, with the chores here at home."
Ako na po a mig-imo ku mga paninda mong merindalan.,I’ll be the one to prepare the snacks you sell.
"Pakasabi kadto ni Nanoy, nagtalikod na iya.","After saying that, Nanoy turned around."
Kinuko su nigo na nakakawit sadto ringring.,He took the winnowing basket hanging by the window.
Mag-adal na ika saka gibuwon mo na su assignment mo saka tutturuan mo si Lina ku assignment man niya.,"Go study now, finish your assignment, and help Lina with her assignment too."
Sabi ku Mama na nagpuon nang mag-tawop ku mapulot na bugas sadto nigo.,"Said Mama, as she started to clean rice grains in the winnowing basket."
"Ma, tapos ko na po su assignment ko. ","Ma, I already finished my assignment."
Saka tapos ko naman pong tabangan si Lina ku assignment niya.,And I've also helped Lina with her assignment.
Nagkakagow sa payo na sabi ni Nanoy.,Nanoy answered while scratching his head.
Makingayamon na po ako Ma.,"I'll go out and play now, Ma."
Sabi ni Nanoy na nagdalagan paluwas sadto baloy nira.,said Nanoy as he ran outside their house.
"Di pa tapos si Mama niya sa pagbaoy, taiton na naman tulos si Nanoy.","His Mama wasn't even done calling him back, Nanoy was already gone."
"O, taiton na tulos ika?","Oh, you left so quickly? "
"La mo man na liksi, ay!","You're really fast, huh!"
Sabi ku Mama na nagngangalas.,Mama asked in surprise.
Tapos na kamo ku ginigibo ninyo ni Lina?,Are you and Lina done with what you were doing?
Uro-aldow arog na kadto su naging ugali ni Nanoy.,"Every day, that was Nanoy's habit."
Pirmi iyang alerto sa pagtabang ki Mama niya.,He was always alert in helping his Mama.
Maasikaso pati sa ngod niya.,He also took care of his younger sibling.
Maurot mag-eskwela.,He studied diligently.
"Dawa nakikingayamon sa mga ibang igin, pirmi iyang listo.","Even when he played with the other kids, he always stayed sharp."
Amo yan si Nanoy a igin na di nagpapabaoy.,That was Nanoy—a child who never disobeyed.
Kinaudmaan nagdaddara su mga barkada ni Nanoy na maminwit sa isura sadto ranow.,"The next day, Nanoy's friends invited him to go fishing at the lake."
Nanoy bukong uban mo nang gusto na mag-iyan sadto ranow ka Bato tanganing magbangka saka maminwit sa isura?,"Nanoy, don't you want to come with us to Bato Lake so we can ride a boat and fish there?"
Kaiba ko si Papa mimasyar kami sadto.,My Papa and I will go there together.
Alok ku mga barkada ni Nanoy.,Nanoy's friends offered.
Gusto ko kintanang umiba kaso nangako ako ki Mama na tatabangan ko iya sadto baloy.,"I really want to join, but I promised Mama that I'd help her at home."
Mamundong simbag ni Nanoy.,Nanoy answered sadly.
Dipa tapos baoyon maliksing nagrapo si Nanoy ki Mama niya.,"Before his Mama could even call him, Nanoy quickly ran to her."
"Igin nagtawag si Papa mo, tapos na kuno su trabawo niya kaya mig-uli na kuno iya udma.","Child, your Papa called. He said his work is done so he will come home tomorrow."
Pag-uli kuno niya sabay sabay kitang migpasyar sadto ranow ka Bato para maminwit saka magbangka.,"When he returns, we'll all go together to Bato Lake to fish and ride a boat."
Isi ko uban mo na yan na gustong iyanan.,I know you've been wanting to go there.
Mamuyang binarita ni Mama ni Nanoy kanya.,Mama happily shared the news with Nanoy.
Biyong naglulukso si Nanoy sa kamuy-an.,Nanoy jumped for joy with excitement.
Alas singko sa mararamrag nagisong na si Nanoy.,"At five in the morning, Nanoy woke up."
Pagkabayad niya ki Papa niya ginakos niya sa malakaugot.,"When he saw his Papa, he hugged him tightly."
Nabaritaan ko igin na tinatabangan mo si Mama mo sadi baloy abang uda ako saka di kuno ika nagpapatugal.,"I heard, child, that you've been helping your Mama at home while I was away, and that you never lazed around."
Kaya nguwan iiyanan ta sa uban mo nang gustong iyanan.,"So now, we will go where you've always wanted."
Migbangka kita saka miminwit sa isura kaiba si Mama mo saka si Lina sadto ranow ka Bato.,We'll ride a boat and fish together with your Mama and Lina at Bato Lake.
Mig piknik na kita dagos ta pinapaluto ko si Mama mo ku paborito ninyo ni Lina na isusura na pikadilyong tilapia saka gulay na katnga.,"Let's have a picnic right away, because I already asked your Mama to cook your and Lina's favorite dish—grilled tilapia with vegetables."
Nagrurulukso si Nanoy sa sobrang kamuy-an.,Nanoy jumped with so much joy and excitement.
Namasyar na sira sadto Ranow ku Bato.,They went on an outing to Bato Lake.
Nagsasagwan si Papa niya.,"His Papa was rowing, "
Namiminwit man si Nanoy sa isura kaabay si Mama saka Lina.,Nanoy was fishing on the side together with Mama and Lina.
Abang nag-uuro istorya sira sadto bangka naparait sa lang kusog si Nanoy.,"As they chatted in the boat, Nanoy suddenly shouted loudly."
Rait ni Nanoy na pinagtataw-an ni Papa saka Mama niya.,His Papa and Mama laughed at Nanoy's loud voice.
Nakarakop ako Pa sa isura.,"I caught a fish, Pa."
Mas lalong narugangan su kamuy-an ni Nanoy.,Nanoy's joy grew even more.
Mamuya si Nanoy ta nakumpleto sirang magpamilya saka naabot su uban na niyang gusto na makaiba sirang sa mamasyar sadto ranow ka Bato.,"He was happy because their family was complete, and he finally achieved his wish to go on an outing together at Bato Lake."
Nagpadagos si Papa ni Nanoy sa pagtrabawo bilang karpintero kin sari-saring lugar.,Nanoy's father continued working as a carpenter in different places.
"Kaya si Nanoy, nakapag-eskwela sa syudad saka lalo pang nagmaurot, anggan sa nagdakulo iya na di nagpapabaoy.","So Nanoy was able to study in the city and became even more diligent, until he grew up without disobedience."
Unga ni Anopol abang nakatangad ki Tang-id.,Asked by Anopol while looking up at Tang-id.
Simbag ni Tang-id na nakarurungow ki Anopol.,"Tang-id replied, overhearing Anopol"
Agko na naman nanunubsob.,Someone is lighting a fire again.
Nagpara-arani saka nagpara-iwas sana a nagparasubsob sadi kadlagan uro-aldow.,The one who burns this forest comes and goes and suddenly disappears every day.
Nakakatakot na sabi ni Anopol.,Anopol said fearfully.
Pauno na kin sadi na yan kanato udma?,What if that happens to us tomorrow?
Nagtutupas na a mga angpas.,The ravines are collapsing.
Nagpararusros na su mga raga sadto tukad.,The rocks are rolling down from the mountain peak.
Uro-aldow na sanang agko nagraragatob na kawoy.,"Every day, there are no longer trees standing."
Ribaraw na sabi ni Anopol.,Anopol said with worry.
Diri natuninong su darwa dawa la ka bulanon.,"The two could not find peace, even for just one night."
"Ay bayda, agko sadit na Rafflesia.","Oh look, there's a small Rafflesia."
Galagang sabi ku usad na burubata na kaiba ku grupong Bantay Bukid na nagmamangno ka kabukidan.,Exclaimed one of the young people with the Bantay Bukid group who watch over the mountain.
Amo di pinakasadit ka pinakadakulong mga burak sa interong kinaban.,That’s one of the largest flowers in the whole world.
Sabi ku agtang kaiba nira.,Said by their fellow agta.
Agko palan kan sadi Mt. Iriga.,"So there""s one here in Mt. Iriga."
"Sabi ku mga gurang, nabisto a Iriga ku panawon na sadi pagkukuon a na an na gigibuwon na olor sadto Manila.",Elderly people say that Iriga was known in the past because it was the source of the perfume ingredients in Manila.
Napaparong mo yan?,Can you smell that?
Unga ku burubata sadto mga kaiba niya.,The young kid asked his friends.
"Amo, agko na naman nagsusulo.","Yes, someone is burning again."
Nabayad mo adto subago na naagyan tang nagtutupas su raga sadtu angpas?,Did you see that landslide on the cliff we passed earlier?
Pigparabuldoser kaya ta ipababakal a raga.,They are using bulldozers because the land is going to be sold.
Sabi man ku usad na agta.,Another aeta said.
"A tunog ka chainsaw, arani sana yan sadi ngani?","The sound of the chainsaw is just around the corner, isn't it?"
Sabi nanggad ku burubata.,The child said it again.
"Kin magparapadagos ading mga parasubsob, paradugkal sa raga, saka paraputol sa kawoy, irak man kading Anopol saka Tang-id pati iba pang mga nabubuway sadi bukid. ","If these people continue to burn, dig up the land, and cut down trees, woe to Anopol and Tang-id and others who live here in the fields."
Mauubos sira ngamin .,They will all be gone.
Udma magbalik kita nganing panrakpon ading mga nagraraot kading kabukidan.,"Tomorrow, we will return to catch those who are causing trouble in the mountains."
"Paggalin ku mga Bantay Bukid, nakainga-inga sa ararom si Anopol saka si Tang-id. ","When the Bantay Bukid left, Anopol and Tang-id were finally able to breathe deeply."
"Isi na nira a kasimbagan ku kinatatakutan nira, kaya ku gab-i, katuninong nirang pignagsilngan su bulan saka su mga bituon.","They know the answer to what they fear, so at night, they quietly gazed at the moon and the stars."
Agko mga narurungog sira Anopol saka Tang-id sa kabitngaan ka gab-i.,Anopol and Tang-id heard something in the middle of the night.
"Agko sira napaparong na aso sa di-karayuan, agko nababayad na nagrurusros na raga galin sa itaas ku bukid.","They smell smoke nearby, and they also see the rushing water coming from the top of the mountain."
Sari raw adto galin?,Where did that come from?
"Sa usad na arayong baryo sa Iriga, inaataman si Tikay ni Lolo saka Lola niya.","In a remote village in Iriga, Tikay is being taken care of by her Lolo and Lola."
"Uda kaya kaiba sa baloy nira, ta sibot a mga kag-igin niya.","There's no one at home, their parents are busy."
Magayon a lugar nira.,Their place is beautiful.
Ngamin na bagay natural ta sadto kaya sira kanubnuban.,All things are natural because they were in the countryside.
"Agko mga kawoy, sapa, isura, maiwas na mayisan, prutas saka gulay na ginugutos sana sa barisbisan.","There are trees, stream, fish, wide cornfield, fruits, and vegetables that are freshly picked in the field."
"Diri adi maaabot, kin diri ika magbaklay, sa usad ikabangang kilometrong abilay.","It's out of reach, unless you walk a kilometer and a half away."
"Maalnas, patukad-pababa, mapagal magtuytoy lalo kin baha sa spillway, dakol nang diri nakakabatloy.","Slippery, uphill and downhill, difficult to walk on, especially when the spillway is flooded, many cannot cross."
"Kin minsan si Tikay, sinuswerte pa man, agko maiirak na magpalunad, anggan sa kasentrowan.","At times, Tikay is fortunate to catch a ride that takes her all the way to the town."
"Dawa pa maluway, ta pababa sana man, pero uno raw si Tikay, ta namumuya man. ","Even though it's slow, it's only downhill, but why is Tikay so interested?"
"Adtong arayong lugar, binaoy nirang ""luyo,” ta migluyo sa sapa, bago umabot ki lolo.  ","That faraway place they call luyo, because you have to cross the stream before reaching to Grandpa."
"Agko pirming nakatagama kanya, na tilapyang prito, nakabutang sa basket, nakabitin sadto atop na agko yero. ","He always has food hidden away, fried tilapia in a basket hanging from the tin roof."
"Alas kuwatro sa apon, si Tatay nagbibisita sa fish pond, umiiba si Tikay, magbawog sa bidaw.","At four in the afternoon, Tatay visits the fishpond, Tikay would join, feeds cereal grain."
"Mga isura, biglang mig-aragawan, kanya-kanyang likwad, mamuyang pagsilngan, makaudang problema nanggad.","Fish, suddenly fighting, each one escaping, so beautiful to watch, really helps get rid of problems."
"Kin oras na sa pagtanom sadto kaum-man, umiiba si Tikay ki Nanay sadto tanuman. ","When it is time for planting in the field, Tikay goes with Nanay to the field."
"Dara-dara a balde, saka mga kaipwanan inaatdan mga nagtatarok, sa tilapyang sinarukan. ","Carrying a bucket and the necessary supplies, he delivers cooked tilapia to the farmers."
"Si Laki na damulag, ataman ni Tata Papo, kuro-kaiba niya sa pag-aarado. ","Laki the carabao, Tata Papo's pet, accompanied him in plowing."
"Linulunadan man paiyan sa Antipolo, para manggusi ku kanyang mga produkto. ",He also rides it to Antipolo to harvest his products.
"Alas sais impunto, nakapanggab-i na.","At exactly six o’clock, they already had dinner."
"Uda ibang marurungog, riwit sadto uma, ultimong libangan, su radyong de pila, Gabi ng Lagim, Simatar, saka su Matud Nila. ","Nothing else can be heard, singing in the rice fields, their only entertainment is battery-powered radio, Gabi ng Lagim, Simatar, and their Matud."
"Alawig a gab-i, usad sana kangitngit, kimat-kimat sana alinuwnow. ","The night is long, it's very dark, with only blinking of eyes. "
"Takot si Tikay, na magpara baraybasay, ta kin masumpungan. mga aswang na nagbabantay. ",Tikay is afraid to walk around and might encounter the guarding aswang.
"Usad na aldow, si Tikay nakalintura, uda araning ospital, nars, o kaya doktora. ","One day, Tikay came down with a fever, but there was no nearby hospital, nor a nurse or doctor."
"Nagpakalakaga si Nanay sa bayabas saka artamisa, tinakpulan su buros sa buyo, pinayran sa menthol ointment, maray na.","Mother boiled guava and artemisia, covered the stomach with betel leaves, rubbed it with menthol ointment, and she was fine."
"Sa oras na inaabtan si Tikay sa kalipungawan, kin unong mga bagay kanyang naiisipan.  ","When Tikay is feeling lonely, she thinks of everything."
"Sadto bintana um-ula, saka minan-awan, sumisilong sa arayo, migbura sa kamunduan.","Sitting there at the window, watching, looking into the distance, very sad."
"Abo sana ni Tikay, pag oras nagbibisita, kanyang Mama saka Papa, na agko sira dara-dara.","Tikay doesn’t like it when her Mama and Papa visits, and they bring something."
"Mamuya si Tikay na lumulunad sadto pababa, paluwas sadto crossing, pauli sadto kanda.","Tikay is happy take a ride downhill, going out to the crossing, going home to them."
"Abang nasa kasentrowan diri niya maintindiyan, tauno mas gusto niyang bumalik sadto kanubnuban? ","While in the town center, she cannot understand why she would rather return to the countryside?"
"Apisar mamundo, sagkod nasa kabukiran.","Although it’s up in the mountains, deep in the highlands."
"Mas gusto pa niya sadto, ta agko katrangkiluwan.","She prefers it there, because there is peace."
"Sadto kasentrowan, dakol a kanyang libangan, na diri niya maanapan, sadto kanubnuban.","In the town center, there are many things she enjoys, things she can’t find back in the countryside."
"Kompyuter, internet, telebisyon, anggan iba pang kasangkapan, baloy, awto, kwarta - senyales sa kauswagan.","Computer, internet, television, and other equipment, house, car, money—signs of progress."
"Para kaya ki Tikay, agko pa mas importante, oras sa pamilya, paggiya, pagpayaba sa pwerte.","Because for Tikay, there is something more important, time for the family, guidance, and being well taken care of."
"Di maitao sa igin kin pareyo na bukong presente, mga kag-igin na abala sa trabawo pirmi.","A child cannot receive these if both parents are no longer around, always occupied with their work."
"Alagad sa hoben na edad, si Tikay napaisip, kin diri man mag ingua, unong klase raw a pagsakit.","But at a young age, Tikay wondered, if she would not strive, what kind of suffering would it be."
"Pirang aldow nang sige uran, pero amo adto a unang beses na nagdagulgol sa malang kusog. ","It had been raining for several days, but that was the first time it thundered loudly."
